source_type,volume_gb,update_frequency_hrs,num_columns,has_joins,priority,pipeline_type
api,3.52,168,37,1,1,weekly_snapshot
csv,8.76,12,162,1,1,batch_hourly
s3,1.93,24,165,1,2,batch_daily
csv,11.29,168,81,0,1,weekly_snapshot
csv,2.46,24,120,1,2,batch_daily
postgres,0.05,6,158,0,2,micro_batch
s3,11.79,6,154,1,2,micro_batch
s3,0.48,1,107,0,3,stream
s3,1.92,168,198,1,3,weekly_snapshot
csv,14.98,24,170,1,3,batch_daily
api,15.04,12,107,1,2,batch_hourly
s3,4.26,6,94,1,2,micro_batch
csv,5.0,6,178,0,3,micro_batch
postgres,2.98,12,126,1,1,batch_hourly
api,1.74,24,147,1,2,batch_daily
postgres,1.99,24,110,0,1,batch_daily
api,5.58,168,123,1,1,weekly_snapshot
csv,6.98,168,176,0,2,weekly_snapshot
mysql,7.84,1,53,1,2,stream
api,7.79,6,108,1,1,micro_batch
postgres,0.48,168,65,1,1,weekly_snapshot
csv,3.41,24,199,0,3,batch_daily
api,0.3,12,127,1,3,batch_hourly
mysql,3.99,24,138,1,2,batch_daily
mysql,2.91,6,13,1,3,micro_batch
s3,10.93,24,10,0,3,batch_daily
s3,2.16,1,77,0,3,stream
postgres,0.62,6,107,1,3,micro_batch
api,0.77,12,164,0,1,batch_hourly
api,7.17,1,45,1,2,stream
s3,4.81,6,118,1,3,micro_batch
api,0.53,12,12,1,1,batch_hourly
api,0.44,1,76,1,1,stream
mysql,6.04,1,182,1,1,stream
s3,0.38,6,96,1,3,micro_batch
csv,8.63,168,66,1,3,weekly_snapshot
s3,6.12,1,88,0,2,stream
csv,0.42,1,66,0,3,stream
mysql,0.44,12,115,0,3,batch_hourly
postgres,21.58,24,131,0,1,batch_daily
api,2.34,6,11,0,2,micro_batch
mysql,2.32,6,88,0,3,micro_batch
api,8.38,168,136,0,3,weekly_snapshot
postgres,14.71,168,138,1,1,weekly_snapshot
postgres,21.34,6,62,1,1,micro_batch
mysql,7.0,168,26,1,3,weekly_snapshot
